:START_ID(Post),:END_ID(Tag)
4384,coffee-culture
4386,espresso
4386,espresso-machine
4386,extraction
4389,ground-coffee
4389,french-press
4389,coffee-machines
4389,grinder
4391,coffee-culture
4395,espresso
4395,espresso-machine
4396,espresso
4396,espresso-machine
4396,troubleshooting
4396,bottomless-portafilter
4399,espresso
4399,cappuccino
4401,espresso-machine
4404,espresso
4406,espresso
4406,flavored-coffee
4408,caffeine
4409,health
4409,french-press
4411,brewing-process
4411,coffee-machines
4411,instant
4411,recommendation
4413,moka
4418,farming
4420,espresso
4420,brewing-process
4420,crema
4424,coffee-culture
4424,kopiluwak
4427,coffee-machines
4430,health
4430,caffeine
4431,flavor
4431,turkish-coffee
4431,coffee-blends
4432,equipment
4432,roasting
4432,grinder
4439,espresso
4439,bean-varieties
4440,coffee-culture
4440,flavored-coffee
4442,health
4442,iced-coffee
4452,pour-over
4452,v60
4453,milk
4453,latte
4453,latte-art
4454,packaging
4455,beans
4455,coffee-culture
4455,coffee-machines
4455,flavored-coffee
4458,flavor
4458,cold-brew
4458,iced-coffee
4465,equipment
4465,coffee-culture
4465,turkish-coffee
4471,coffee-machines
4479,health
4482,espresso-machine
4486,espresso
4486,crema
4486,turkish-coffee
4488,health
4488,caffeine
4490,health
4492,brewing-process
4499,storage
4499,cold-brew
4500,espresso
4500,brewing-process
4503,health
4503,caffeine
4507,health
4507,ground-coffee
4507,storage
4512,coffee-culture
4516,health
4517,milk
4517,steamed-milk
4521,espresso-machine
4521,coffee-machines
4521,filter
4521,paper-filter
4528,health
4528,chemistry
4530,health
4534,espresso-machine
4535,health
4539,ground-coffee
4539,milk
4539,iced-coffee
4542,coffee-culture
4542,flavored-coffee
4542,arabica
4544,temperature
4545,health
4547,flavor
4547,ground-coffee
4547,grinder
4549,filter
4549,paper-filter
4554,coffee-machines
4554,maintenance
4554,keurig
4562,caffeine
4562,coffee-culture
4566,moka
4566,v60
4568,coffee-machines
4568,grinder
4568,maintenance
4578,espresso
4578,coffee-culture
4578,coffee-shop
4579,extraction
4579,v60
4579,brewing-process
4581,moka
4587,brewing-process
4587,flavor
4587,moka
4589,flavor
4589,espresso-machine
4589,equipment
4599,brewing-process
4599,drip-brew
4602,pour-over
4602,filter
4607,whole-bean
4610,whole-bean
4611,instant
4612,moka
4616,cold-brew
4618,espresso
4618,moka
4635,health
4635,ground-coffee
4652,cleaning
4652,froth
4652,freshness
4656,milk
4656,steamed-milk
4656,foamed-milk
4657,milk
4657,steamed-milk
4657,foamed-milk
4658,flavored-coffee
4658,brewing-process
4658,coffee-shop
4661,ground-coffee
4663,flavor
4667,espresso
4667,brewing-process
4672,cleaning
4676,chemistry
4676,aroma
4682,moka
4689,brewing-process
4689,ground-coffee
4689,equipment
4689,coffee-culture
4689,cleaning
4699,ground-coffee
4699,coffee-culture
4699,coffee-machines
4702,brewing-process
4702,ground-coffee
4702,beans
4702,coffee-culture
4710,moka
4717,coffee-machines
4718,caffeine
4720,roasting
4721,brewing-process
4721,french-press
4723,espresso
4723,extraction
4727,espresso
4727,aeropress
4728,ground-coffee
4728,storage
4728,instant
4729,espresso
4729,espresso-machine
4729,tamping
4731,coffee-machines
4731,cleaning
4733,health
4733,ground-coffee
4733,beans
4733,storage
4735,coffee-machines
4736,ground-coffee
4738,ground-coffee
4739,ground-coffee
4740,espresso-machine
4748,espresso
4748,beans
4748,freshness
4755,espresso-machine
4755,coffee-machines
4755,turkish-coffee
4760,health
4760,ground-coffee
4760,coffee-culture
4760,storage
4765,ground-coffee
4765,green-coffee
4770,moka
4773,espresso-machine
4773,grinder
4773,specific-machine
4774,coffee-machines
4774,recommendation
4782,cleaning
4782,descaling
4786,espresso
4786,brewing-process
4786,extraction
4786,roast
4795,ground-coffee
4799,brewing-process
4799,starbucks
4800,espresso
4806,brewing-process
4809,health
4813,coffee-machines
4814,paper-filter
4818,coffee-machines
4818,maintenance
4825,health
4830,flavor
4830,tasting
4834,espresso
4834,espresso-machine
4839,roasting
4839,roast
4842,health
4842,ground-coffee
4842,milk
4843,flavor
4843,extraction
4846,flavor
4849,extraction
4849,chemistry
4849,decaffeinated
4853,steamed-milk
4853,froth
4855,brewing-process
4859,nespresso
4860,espresso
4860,espresso-machine
4860,keurig
4860,specific-machine
4863,espresso-machine
4863,coffee-machines
4863,nespresso
4869,farming
4870,farming
4875,cup
4880,espresso
4889,temperature
4896,ground-coffee
4898,moka
4901,roasting
4901,instant
4901,home-roasting
4906,health
4906,caffeine
4906,coffee-culture
4908,equipment
4908,moka
4913,instant
4919,espresso
4920,beans
4920,freshness
4928,espresso
4928,caffeine
4928,drip-brew
4936,moka
4938,caffeine
4943,beans
4945,sugar
4951,flavor
4951,moka
4951,aeropress
4953,brewing-process
4953,aeropress
4958,coffee-machines
4958,capsule
4963,french-press
4963,aeropress
4965,grinder
4967,french-press
4973,espresso
4973,drip-brew
4976,espresso-machine
4976,storage
4984,pour-over
4999,instant
5000,temperature
5002,espresso-machine
5002,cleaning
5002,maintenance
5004,brewing-process
5004,aeropress
5010,beans
5010,grinder
5010,aeropress
5014,espresso
5014,espresso-machine
5016,grinder
5016,chemex
5020,storage
5021,grinder
5023,equipment
5027,instant
5027,chemistry
5031,brewing-process
5031,caffeine
5031,roasting
5033,starbucks
5033,freshness
5033,roast
5034,coffee-machines
5034,capsule
5039,brewing-process
5039,ground-coffee
5045,grinder
5045,aeropress
5053,espresso
5053,espresso-machine
5053,brewing-process
5053,tamping
5065,beans
5066,moka
5066,pour-over
5068,flavor
5068,milk
5069,temperature
5070,moka
5082,espresso
5084,grinder
5084,recommendation
5088,roasting
5088,brewing-process
5089,pour-over
5091,pour-over
5091,freshness
5094,espresso
5094,turkish-coffee
5096,cold-brew
5098,health
5098,caffeine
5102,pods
5104,espresso
5104,espresso-machine
5104,latte
5104,latte-art
5105,espresso-machine
5105,filter
5106,espresso-machine
5110,storage
5118,aeropress
5118,temperature
5118,water
5118,water-hardness
5121,ground-coffee
5122,beans
5122,coffee-machines
5131,equipment
5132,roasting
5132,grinder
5132,home-roasting
5132,green-coffee
5134,moka
5135,ground-coffee
5143,espresso-machine
5144,drip-brew
5145,beans
5146,beans
5146,pour-over
5149,espresso
5149,moka
5149,nespresso
5149,strength
5150,ground-coffee
5150,coffee-machines
5150,cleaning
5152,espresso
5152,coffee-machines
5153,caffeine
5153,acid
5155,espresso
5155,cup
5155,coffee-shop
5157,moka
5161,espresso
5161,moka
5166,espresso
5168,brewing-process
5168,drip-brew
5169,caffeine
5169,aeropress
5175,drip-brew
5175,pour-over
5175,v60
5179,aeropress
5187,instant
5187,flavored-coffee
5189,espresso-machine
5197,brewing-process
5197,moka
5197,equipment
5197,temperature
5209,quality
5209,packaging
5210,ground-coffee
5215,arabica
5215,acid
5217,brewing-process
5217,moka
5217,equipment
5218,brewing-process
5218,ground-coffee
5223,espresso-machine
5223,froth
5234,moka
5234,cleaning
5239,moka
5239,cleaning
5241,espresso
5241,flavored-coffee
5247,aroma
5256,espresso-machine
5260,instant
5260,flavored-coffee
5262,espresso
5262,espresso-machine
5262,portafilter
5264,beans
5264,paper-filter
5271,brewing-process
5271,v60
5272,health
5272,strength
5272,technique
5277,espresso
5277,espresso-machine
5279,milk
5279,steamed-milk
5279,latte
5281,beans
5282,health
5282,milk
5282,steamed-milk
5287,beans
5287,roasting
5290,health
5290,caffeine
5293,moka
5295,grinder
5295,cleaning
5298,ground-coffee
5298,caffeine
5300,beans
5300,roasting
5300,home-roasting
5317,health
5317,caffeine
5317,milk
5318,espresso
5318,coffee-machines
5318,filter
5321,latte-art
5321,froth
5325,espresso
5325,moka
5330,bean-varieties
5333,espresso
5333,grinder
5338,brewing-process
5338,aeropress
5338,extraction
5342,espresso
5342,espresso-machine
5342,troubleshooting
5342,filter-basket
5342,pressurized-basket
5343,coffee-machines
5343,latte
5343,pods
5349,storage
5349,maintenance
5349,home-roasting
5349,brewing-process
5349,identify-this
5350,equipment
5350,grinder
5355,storage
5357,espresso
5360,beans
5360,roasting
5360,roast
5362,espresso
5362,espresso-machine
5362,coffee-machines
5362,coffee-culture
5362,barista
5375,maintenance
5377,espresso
5377,espresso-machine
5377,extraction
5377,specialty-coffee
5381,espresso
5381,extraction
5381,filter
5384,brewing-process
5384,aeropress
5390,moka
5393,coffee-culture
5398,french-press
5400,espresso
5400,espresso-machine
5400,milk
5401,moka
5406,induction
5408,moka
5411,flavor
5411,vietnam
5411,dessert
5415,beans
5415,ground-coffee
5416,equipment
5416,french-press
5420,specialty-coffee
5423,drip-brew
5423,pour-over
5425,grinder
5427,health
5427,moka
5427,equipment
5431,espresso
5431,espresso-machine
5432,pour-over
5432,chemex
5433,espresso
5433,espresso-machine
5433,grinder
5435,chemistry
5441,pour-over
5441,grinder
5441,chemex
5443,espresso
5443,extraction
5447,cleaning
5447,filter
5452,ground-coffee
5452,instant
5455,filter
5455,paper-filter
5461,coffee-culture
5461,cup
5465,health
5465,caffeine
5465,chemistry
5466,moka
5466,extraction
5467,bean-to-cup
5467,cappuccino
5470,aeropress
5470,extraction
5472,flavor
5472,grinder
5472,extraction
5473,filter
5473,paper-filter
5475,espresso
5475,ground-coffee
5475,moka
5475,coffee-machines
5481,flavored-coffee
5481,mocha
5482,moka
5482,temperature
5482,strength
5482,acid
5484,espresso-machine
5484,moka
5484,coffee-machines
5484,percolator
5494,equipment
5494,coffee-machines
5494,cleaning
5496,brewing-process
5496,drip-brew
5500,milk
5500,foamed-milk
5500,cappuccino
5503,brewing-process
5506,espresso
5506,espresso-machine
5508,espresso
5508,espresso-machine
5508,beans
5508,grinder
5511,flavor
5511,french-press
5514,espresso
5515,health
5515,home-roasting
5515,aroma
5516,espresso
5516,coffee-machines
5516,coffee-culture
5522,paper-filter
5522,chemex
5526,espresso
5535,espresso
5535,brewing-process
5535,flavor
5535,coffee-machines
5535,latte
5546,moka
5546,grinder
5551,espresso
5551,bean-varieties
5551,roast
5565,coffee-machines
5565,troubleshooting
5568,brewing-process
5568,chemex
5578,coffee-machines
5578,drip-brew
5582,caffeine
5582,capsule
5592,health
5592,filter
5594,cleaning
5595,grinder
5601,beans
5601,coffee-machines
5601,grinder
5604,espresso
5604,espresso-machine
5604,moka
5604,french-press
5604,ground-coffee
5607,espresso
5607,moka
5607,tamping
5612,grinder
5619,espresso
5619,extraction
5625,espresso
5625,espresso-machine
5631,instant
5631,dalgona
5637,espresso
5637,ground-coffee
5637,caffeine
5641,starbucks
5641,roast
5647,moka
5647,cleaning
5652,moka
5652,equipment
5652,cleaning
5654,ground-coffee
5654,moka
5654,equipment
5654,cleaning
5658,french-press
5658,cleaning
5661,coffee-machines
5661,french-press
5663,coffee-machines
5663,cleaning
5666,coffee-machines
5666,troubleshooting
5670,espresso
5670,caffeine
5670,instant
5671,turkish-coffee
5674,beans
5674,roasting
5674,roast
5677,espresso
5677,beans
5677,grinder
5677,bean-to-cup
5678,percolator
5682,coffee-machines
5682,milk
5682,foamed-milk
5682,froth
5683,brewing-process
5683,bean-to-cup
5683,troubleshooting
5687,turkish-coffee
5688,grinder
5688,french-press
5688,ground-coffee
5688,quality
5699,espresso
5699,acid
5699,barista
5704,brewing-process
5704,flavor
5704,equipment
5706,milk
5710,moka
5710,equipment
5711,french-press
5713,grinder
5713,drip-brew
5714,cold-brew
5714,acid
5720,iced-coffee
5720,foamed-milk
5720,dalgona
5721,espresso-machine
5721,maintenance
5722,drip-brew
5722,vietnam
5722,phin
5730,espresso
5730,espresso-machine
5732,brewing-process
5732,french-press
5734,moka
5737,storage
5737,cold-brew
5739,flavor
5739,beans
5739,roast
5742,espresso
5742,acid
5746,espresso-machine
5746,maintenance
5746,bean-to-cup
5747,flavor
5747,chemistry
5750,espresso
5750,espresso-machine
5750,pods
5753,equipment
5753,milk
5753,freshness
5763,espresso
5763,caffeine
5768,grinder
5768,bean-to-cup
5773,roasting
5773,home-roasting
5773,specific-machine
5774,health
5779,instant
5783,chemistry
5786,espresso
5786,espresso-machine
5786,troubleshooting
5791,moka
5793,brewing-process
5793,beans
5793,v60
5793,aroma
5803,flavor
5803,health
5803,caffeine
5803,decaffeinated
5804,equipment
5804,roasting
5804,home-roasting
5808,moka
5808,coffee-machines
5808,maintenance
5808,percolator
5811,ground-coffee
5811,coffee-machines
5811,coffee-culture
5811,flavored-coffee
5811,turkish-coffee
5823,espresso
5823,moka
5823,grinder
5828,caffeine
5829,grinder
5831,turkish-coffee
5835,espresso
5835,brewing-process
5835,nespresso
5835,cappuccino
5836,espresso-machine
5836,moka
5836,grind-size
5840,ground-coffee
5840,beans
5840,recommendation
5845,espresso
5845,flavor
5845,grinder
5848,equipment
5848,grinder
5849,equipment
5849,milk
5849,steamed-milk
5854,brewing-process
5854,v60
5857,french-press
5860,extraction
5860,chemistry
5861,brewing-process
5861,beans
5861,roasting
5861,french-press
5866,french-press
5866,acid
5868,aeropress
5868,instant
5868,decaffeinated
5868,grind-size
5872,starbucks
5872,keurig
5872,pods
5875,ground-coffee
5879,beans
5879,storage
5886,espresso
5888,brewing-process
5888,moka
5888,grind-size
5890,bean-to-cup
5890,descaling
5890,water
5892,flavor
5892,health
5892,strength
5892,roast
5896,espresso
5896,espresso-machine
5898,health
5898,beans
5899,steamed-milk
5899,latte
5903,grinder
5907,coffee-culture
5914,keurig
5920,french-press
5920,acid
5923,brewing-process
5923,temperature
5925,espresso
5925,espresso-machine
5925,troubleshooting
5928,portafilter
5934,beans
5937,beans
5937,trade-association
5939,drip-brew
5939,strength
5942,beans
5942,home-roasting
5946,espresso-machine
5946,coffee-machines
5946,specific-machine
5949,flavored-coffee
5953,ground-coffee
5956,brewing-process
5959,espresso
5959,flavor
5959,moka
5969,espresso
5969,espresso-machine
5969,coffee-machines
5969,maintenance
5972,pods
5975,coffee-machines
5975,cleaning
5977,grind-size
5979,drip-brew
5979,filter
5986,bean-to-cup
5986,chemex
5991,extraction
5992,espresso
5998,espresso-machine
5998,maintenance
5998,filter-basket
5998,pressurized-basket
5999,packaging
6001,storage
6007,equipment
6007,tamping
6008,storage
6008,instant
6013,espresso
6013,equipment
6013,distribution-tool
6020,coffee-machines
6027,flavor
6027,ground-coffee
6027,iced-coffee
6030,beans
6030,growing
6030,farming
6032,espresso
6032,flavor
6032,iced-coffee
6041,tasting
6044,brewing-process
6044,coffee-culture
6046,pour-over
6059,grind-size
6065,grinder
6065,cleaning
6067,brewing-process
6067,equipment
6071,moka
6073,caffeine
6073,equipment
6074,ground-coffee
6074,bean-to-cup
6076,brewing-process
6076,flavor
6082,french-press
6086,french-press
6091,bean-varieties
6100,coffee-machines
6101,coffee-machines
6103,espresso
6104,espresso
6106,moka
6106,cleaning
6107,coffee-machines
6108,water
6108,water-hardness
6111,caffeine
6111,aeropress
6111,extraction
6111,nespresso
6112,espresso
6112,caffeine
6112,aeropress
6112,strength
6112,chemex
6114,drip-brew
6119,temperature
6119,keurig
6121,turkish-coffee
6122,moka
6129,coffee-machines
6135,coffee-machines
6135,percolator
6135,history
6137,beans
6144,cleaning
6144,aroma
6144,water
6146,espresso
6146,cleaning
6148,equipment
6148,home-roasting
6156,brewing-process
6156,grind-size
6157,french-press
6157,technique
6160,drip-brew
6160,pour-over
6165,storage
6166,espresso
6166,steamed-milk
6167,espresso-machine
6176,extraction
6176,chemistry
6176,strength
6179,decaffeinated
6190,extraction
6190,crema
6192,brewing-process
6192,french-press
6192,acid
6192,grind-size
6195,terminology
6202,moka
6205,ground-coffee
6205,health
6205,drip-brew
6207,french-press
6207,acid
6209,brewing-process
6209,grinder
6209,aeropress
6211,cold-brew
6217,chemex
6221,troubleshooting
6227,chemistry
6234,espresso
6234,ground-coffee
6234,espresso-machine
6235,espresso-machine
6236,ground-coffee
6236,caffeine
6236,extraction
6237,moka
6237,equipment
6237,coffee-machines
6237,cleaning
6244,terminology
6247,french-press
6250,ground-coffee
6250,french-press
6250,freshness
6253,beans
6253,grinder
6253,coffee-blends
6254,espresso-machine
6267,maintenance
6267,water
6272,moka
6280,brewing-process
6280,temperature
6286,portafilter
